Written in Red|Anne Bishop|A young blood prophet escapes from captivity on an alternate Earth where creatures called the Others domiate and humans are simply tolerated.
Still Life|Louise Penny|This mystery introduces Chief Inspector Armand Gamache of the Sûreté du Québec as he investigates a suspicious death in a rural tvillage outside of Montreal.
The Ice House|Minnette Walters|A mystery that explores the consequences of prejudice against independant women in the setting of a small English town.
Troubles Waters|Sharon Shinn|Zoe must find her own path (and maybe love) after she is thrust suddenly from obscurity into the centre of political and magical power.
Smarter Than You Think: How Technology is Changing Our Minds for the Better|Clive Thompson|A very readable, tempered and engaging (if not comrehensive) argument about the impact of technology on the modern mind.
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II|Denise Kiernan|A narrative history exploring the lives of women who helped in the effort to refine uranium at Oak Ridge, Tennessee.
A Week to be Wicked|Tessa Dare|Sexy hilarity ensues when an awkward, bluestocking spinster runs away with a shameless, charming rake.
How We Die|Sherwin B, Nuland|A frank yet compassionate account of how we die, encompasing the clinical and the philosophical and inspiring awe for both death and life.
Five Past Midnight in Bhopal|Dominique Lapierre and Javier Moro|Nonfiction account of the world's deadliest industrial disaster.
The Information: A History, A Theory, A Flood|James Gleick|This story paints a portrait of the key figures involved in the development of our modern understanding of information.
The Count of Monte Cristo (Unabridged)|Alexandre Dumas|Satisfying revenge story for your bad days.
Monkey|Wu Ch'Eng-En, translated by Arthur Waley|Classic Chinese literature about the Monkey King.
Ready Player One|Ernest Cline|This book is highly recommended for the 80s and 90s gamers.
The Language of Flowers|Vanessa Diffenbaugh|A teen girl finds she has a talent for helping others through the flowers she chooses for them.
Magic Breaks|Ilona Andrews|Quippy fantasy set in an alternate universe Atlanta.
War Breaker|Brandon Sanderson|Princesses Vivenna and Siri attempt to navigate the world of political and mystical intrigue when one of them is sent to marry the God King of rival nation
Legion|Brandon Sanderson| Legion and his multiple personalities are drawn into a missing persons investigaton-- which quickly turns into a much deeper mystery. 
The Sandman: The Dream Hunters|Neil Gaiman, illustrated by Yoshitaka Amano|A humble young monk and a magical, shape-shifting fox are drawn together and into a devilish plot.
Kabuki|David Mack, Rick Mays|This story spans Japan's history and future, and connects traditional ghost stories with the worlds of organized crime and politics.
Amphigorey|Edward Goray|An ABC book for fans of the macabre.
The Happiness Project|Gretchen Rubin|Gretchen Rubin discovers the pleasure of writing just one sentence every day in this best-selling book.
Chinese Watercolor Techniques for Exquisite Flowers|Lian Quan Zhen|Check out this book if you've always wanted to try Chinese style sumi-e.
PostSecret: Extraordinary Confessions from Ordinary Lives|Frank Warren|Anonoymous participants submitted secrets via postcard in this art project-turned book.
Wondertoonel|Mark Ryden|This is an art book by one of today's leading contemporary artists.
Obsessive Consumption: What Did You Buy Today?|Kate Bingaman-Burt|A sketchbook diary following Kate's daily spending.
Show Me How: 500 Things You Should Know|Lauren Smith and Derek Fagerstrom|For picturebook fans, this is a simple how-to book to puzzle through.
Sunshine|Robin McKinley|Like vampires?  Like fantasy? Check out this book, which takes place in an alternate universe plagues by war and magic thieves.
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything|Steven D. Levitt and Stephen J. Dubner|What do schoolteachers and sumo wrestlers have in common? Two economists use scenarios like this to connect economics and societal incentives.
Cut and Fold Techniques for Promotional Materials|Paul Jackson|A unique collection of over 40 attention-grabbing cut-and-fold designs.
Sweet and Low: A Family Story|Rich Cohen|The bittersweet book tells the story of a sugar substitute's invetor, and the toll  the project takes on his family.
Salt|Mark Kurlansky|A history of salt (and we mean the WHOLE history).
Cloud Atlas|David Mitchell|This novel explores fundamental questions of reality and identity.
Caffeinated: How Our Daily Habit Helps, Hurts, and Hooks Us|Murray Carpenter|The history of the most popular drug in America.
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus|Richard Preston|A hair-raising account of the appearance of rare and lethal viruses and their "crashes" into the human race.
Don't Sleep, There Are Snakes: Life and Language in the Amazonian Jungle|Daniel L. Everitt|Read a nonfictional account about the grammar and culture of the Piraha people in the Amazon.
Night Watch|Sergei Lukyanenko|This is the first book of the World of Watches series.This is recommended for folks looking for good versus evil.
Foundation Trilogy|Isaac Asimov|Foundation, Foundation and Empire, Second Foundation.
Bossypants|Tina Fey|Tina Fey reveals all in this hilarious memoir, and proves you're no one until someone calls you bossy.
Do Androids Dream of Electric Sheep?|Philip K. Dick|The movie Bladerunner was based off of this book!
The Collected Stories of Philip K. Dick|Philip K. Dick|Science fiction about false realities, human vs. machine, entropy, the nature of God, and social control
The Road to Gandolfo|Robert Ludlum|Unlike his other books (ie. Bourne series), this first book is a comedic thriller.
The Royal Spyness Series|Rhys Bowen|Set in the 1930s, a penniless royal solves mysteries that she encounters.
The Secret History of the Pink Carnation|Lauren Willig|With strong allusions to the Scarlet Pimpernel, the first book in this romance series involves subterfuge, historical research, and finding a dateable guy in London!
The Dark Tower|Stephen King|A gunslinger and his quests toward a tower in this tale, which incorporates fantasy, science fantasy, horror, and Western themes.
The Eyes of the Dragon|Stephen King|A king is poisoned, a magician schemes, and brothers duel for the throne in this intriguing fantasy adventure. 
I Am Legend|Richard Matheson|The last man on earth is hunted by all of the other once-human inhabitants, who have turned into vampire-like creatures.
The Martian|Andy Weir|NASA astronaut Mark Watney was accidentally left behind on Mars during an emergency evacuation. Can he survive until help arrives?
Food: A Love Story|Jim Gaffigan|A comedian shares his favourite food memories.
Ancillary Justice|Ann Leckie|An expansionist empire rules over the galaxy in this space opera, where humans are controlled by AIs.
